repeat,baseline,X,accuracy,fold
14,KNeighborsClassifier,20,0.0434782608695652,14
15,KNeighborsClassifier,20,0.1702127659574468,15
16,KNeighborsClassifier,20,0.1489361702127659,16
17,KNeighborsClassifier,20,0.2608695652173913,17
18,KNeighborsClassifier,20,0.3260869565217391,18
19,KNeighborsClassifier,20,0.1739130434782608,19
20,KNeighborsClassifier,20,0.1702127659574468,20
21,KNeighborsClassifier,20,0.1702127659574468,21
22,KNeighborsClassifier,20,0.1739130434782608,22
23,KNeighborsClassifier,20,0.1521739130434782,23
24,KNeighborsClassifier,20,0.0869565217391304,24
0,KNeighborsClassifier,21,0.1489361702127659,0
1,KNeighborsClassifier,21,0.2127659574468085,1
2,KNeighborsClassifier,21,0.1739130434782608,2
3,KNeighborsClassifier,21,0.217391304347826,3
4,KNeighborsClassifier,21,0.1304347826086956,4
5,KNeighborsClassifier,21,0.2553191489361702,5
6,KNeighborsClassifier,21,0.2978723404255319,6
7,KNeighborsClassifier,21,0.2608695652173913,7
8,KNeighborsClassifier,21,0.2608695652173913,8
9,KNeighborsClassifier,21,0.217391304347826,9
10,KNeighborsClassifier,21,0.2765957446808511,10
11,KNeighborsClassifier,21,0.0851063829787234,11
12,KNeighborsClassifier,21,0.0434782608695652,12
13,KNeighborsClassifier,21,0.217391304347826,13
14,KNeighborsClassifier,21,0.0434782608695652,14
15,KNeighborsClassifier,21,0.2127659574468085,15
16,KNeighborsClassifier,21,0.2127659574468085,16
17,KNeighborsClassifier,21,0.3043478260869565,17
18,KNeighborsClassifier,21,0.391304347826087,18
19,KNeighborsClassifier,21,0.2608695652173913,19
20,KNeighborsClassifier,21,0.2127659574468085,20
21,KNeighborsClassifier,21,0.2553191489361702,21
22,KNeighborsClassifier,21,0.217391304347826,22
23,KNeighborsClassifier,21,0.217391304347826,23
24,KNeighborsClassifier,21,0.1304347826086956,24
0,KNeighborsClassifier,22,1.0,0
1,KNeighborsClassifier,22,1.0,1
2,KNeighborsClassifier,22,1.0,2
3,KNeighborsClassifier,22,1.0,3
4,KNeighborsClassifier,22,1.0,4
5,KNeighborsClassifier,22,1.0,5
6,KNeighborsClassifier,22,1.0,6
7,KNeighborsClassifier,22,1.0,7
8,KNeighborsClassifier,22,1.0,8
9,KNeighborsClassifier,22,1.0,9
10,KNeighborsClassifier,22,1.0,10
11,KNeighborsClassifier,22,1.0,11
12,KNeighborsClassifier,22,1.0,12
13,KNeighborsClassifier,22,1.0,13
14,KNeighborsClassifier,22,1.0,14
15,KNeighborsClassifier,22,1.0,15
