clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,0.2672413793103448,0.1336206896551724,0.5,0.2108843537414966,tiny-imagenet_resnet18_x9,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3103448275862069,0.15517241379310345,0.5,0.23684210526315788,tiny-imagenet_resnet18_x10,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.31896551724137934,0.15948275862068967,0.5,0.24183006535947713,tiny-imagenet_resnet18_x11,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3793103448275862,0.1896551724137931,0.5,0.275,tiny-imagenet_resnet18_x12,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,tiny-imagenet_resnet18_x13,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4482758620689655,0.22413793103448276,0.5,0.30952380952380953,tiny-imagenet_resnet18_x14,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.46551724137931033,0.23275862068965517,0.5,0.3176470588235294,tiny-imagenet_resnet18_x15,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4224137931034483,0.21120689655172414,0.5,0.296969696969697,tiny-imagenet_resnet18_x16,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.45689655172413796,0.22844827586206898,0.5,0.3136094674556213,tiny-imagenet_resnet18_x17,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.43103448275862066,0.21551724137931033,0.5,0.30120481927710846,tiny-imagenet_resnet18_x18,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.49137931034482757,0.24568965517241378,0.5,0.32947976878612717,tiny-imagenet_resnet18_x19,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.41379310344827586,0.20689655172413793,0.5,0.2926829268292683,tiny-imagenet_resnet18_x20,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.47413793103448276,0.23706896551724138,0.5,0.3216374269005848,tiny-imagenet_resnet18_x21,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x22,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5517241379310345,0.27586206896551724,0.5,0.35555555555555557,tiny-imagenet_resnet18_x23,4,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5319148936170213,0.5317028985507246,0.5317028985507246,0.5317028985507246,iid_test,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9051724137931034,0.4525862068965517,0.5,0.4751131221719457,tiny-imagenet_resnet18_x0,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.12931034482758622,0.06465517241379311,0.5,0.11450381679389313,tiny-imagenet_resnet18_x1,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.08620689655172414,0.04310344827586207,0.5,0.07936507936507936,tiny-imagenet_resnet18_x2,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.12931034482758622,0.06465517241379311,0.5,0.11450381679389313,tiny-imagenet_resnet18_x3,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1724137931034483,0.08620689655172414,0.5,0.14705882352941177,tiny-imagenet_resnet18_x4,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.1896551724137931,0.09482758620689655,0.5,0.15942028985507245,tiny-imagenet_resnet18_x5,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.2413793103448276,0.1206896551724138,0.5,0.19444444444444445,tiny-imagenet_resnet18_x6,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.21551724137931033,0.10775862068965517,0.5,0.1773049645390071,tiny-imagenet_resnet18_x7,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.2672413793103448,0.1336206896551724,0.5,0.2108843537414966,tiny-imagenet_resnet18_x8,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.23275862068965517,0.11637931034482758,0.5,0.1888111888111888,tiny-imagenet_resnet18_x9,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.25862068965517243,0.12931034482758622,0.5,0.2054794520547945,tiny-imagenet_resnet18_x10,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3448275862068966,0.1724137931034483,0.5,0.2564102564102564,tiny-imagenet_resnet18_x11,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.35344827586206895,0.17672413793103448,0.5,0.2611464968152866,tiny-imagenet_resnet18_x12,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9051724137931034,0.4525862068965517,0.5,0.4751131221719457,tiny-imagenet_resnet18_x13,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4051724137931034,0.2025862068965517,0.5,0.2883435582822086,tiny-imagenet_resnet18_x14,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4396551724137931,0.21982758620689655,0.5,0.30538922155688625,tiny-imagenet_resnet18_x15,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5517241379310345,0.27586206896551724,0.5,0.35555555555555557,tiny-imagenet_resnet18_x16,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x17,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5775862068965517,0.28879310344827586,0.5,0.366120218579235,tiny-imagenet_resnet18_x18,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5344827586206896,0.2672413793103448,0.5,0.34831460674157305,tiny-imagenet_resnet18_x19,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5,0.25,0.5,0.3333333333333333,tiny-imagenet_resnet18_x20,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5775862068965517,0.28879310344827586,0.5,0.366120218579235,tiny-imagenet_resnet18_x21,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5603448275862069,0.2801724137931034,0.5,0.35911602209944754,tiny-imagenet_resnet18_x22,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x23,5,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5957446808510638,0.5951086956521738,0.5954545454545455,0.5950113378684807,iid_test,6,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,6,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
