zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
mnist,weights,14,HistGradientBoosting,0.129,0.111,0.1151452282157676,0.1130346232179226,"[[147 853]
 [889 111]]"
mnist,weights,14,RandomForest,0.0975,0.091,0.0921985815602836,0.0915953699043784,"[[104 896]
 [909  91]]"
mnist,weights,15,HistGradientBoosting,0.1585,0.15,0.1525940996948118,0.151285930408472,"[[167 833]
 [850 150]]"
mnist,weights,15,RandomForest,0.1005,0.079,0.0825496342737722,0.0807358201328564,"[[122 878]
 [921  79]]"
mnist,weights,16,HistGradientBoosting,0.4705,0.506,0.4724556489262371,0.4886528247223563,"[[435 565]
 [494 506]]"
mnist,weights,16,RandomForest,0.107,0.103,0.1038306451612903,0.1034136546184738,"[[111 889]
 [897 103]]"
mnist,weights,17,HistGradientBoosting,0.928,0.965,0.8985102420856611,0.9305689488910318,"[[891 109]
 [ 35 965]]"
mnist,weights,17,RandomForest,0.1375,0.135,0.135678391959799,0.1353383458646616,"[[140 860]
 [865 135]]"
mnist,weights,18,HistGradientBoosting,0.997,0.999,0.9950199203187252,0.997005988023952,"[[995   5]
 [  1 999]]"
mnist,weights,18,RandomForest,0.345,0.396,0.3593466424682395,0.3767840152235966,"[[294 706]
 [604 396]]"
mnist,weights,19,HistGradientBoosting,0.9995,1.0,0.999000999000999,0.9995002498750626,"[[ 999    1]
 [   0 1000]]"
mnist,weights,19,RandomForest,0.768,0.816,0.7445255474452555,0.7786259541984731,"[[720 280]
 [184 816]]"
mnist,weights,20,HistGradientBoosting,1.0,1.0,1.0,1.0,"[[1000    0]
 [   0 1000]]"
mnist,weights,20,RandomForest,0.977,0.984,0.970414201183432,0.9771598808341608,"[[970  30]
 [ 16 984]]"
mnist,weights,21,HistGradientBoosting,0.999,0.998,1.0,0.998998998998999,"[[1000    0]
 [   2  998]]"
mnist,weights,21,RandomForest,0.999,1.0,0.998003992015968,0.9990009990009988,"[[ 998    2]
 [   0 1000]]"
mnist,weights,22,HistGradientBoosting,1.0,1.0,1.0,1.0,"[[1000    0]
 [   0 1000]]"
mnist,weights,22,RandomForest,1.0,1.0,1.0,1.0,"[[1000    0]
 [   0 1000]]"
mnist,weights,23,HistGradientBoosting,0.999,1.0,0.998003992015968,0.9990009990009988,"[[ 998    2]
 [   0 1000]]"
mnist,weights,23,RandomForest,1.0,1.0,1.0,1.0,"[[1000    0]
 [   0 1000]]"
stl10,grads,1,HistGradientBoosting,0.115,0.108,0.1095334685598377,0.1087613293051359,"[[122 878]
 [892 108]]"
stl10,grads,1,GradientBoosting,0.2595,0.27,0.2644466209598433,0.2671944581890153,"[[249 751]
 [730 270]]"
stl10,grads,1,RandomForest,0.096,0.09,0.0910931174089068,0.090543259557344,"[[102 898]
 [910  90]]"
stl10,grads,2,HistGradientBoosting,0.115,0.108,0.1095334685598377,0.1087613293051359,"[[122 878]
 [892 108]]"
stl10,grads,2,GradientBoosting,0.2645,0.292,0.2767772511848341,0.2841849148418491,"[[237 763]
 [708 292]]"
stl10,grads,2,RandomForest,0.096,0.094,0.0943775100401606,0.094188376753507,"[[ 98 902]
 [906  94]]"
stl10,grads,3,HistGradientBoosting,0.113,0.1,0.1026694045174538,0.1013171225937183,"[[126 874]
 [900 100]]"
stl10,grads,3,GradientBoosting,0.2595,0.27,0.2644466209598433,0.2671944581890153,"[[249 751]
 [730 270]]"
stl10,grads,3,RandomForest,0.096,0.091,0.0919191919191919,0.0914572864321607,"[[101 899]
 [909  91]]"
stl10,grads,4,HistGradientBoosting,0.113,0.105,0.1067073170731707,0.1058467741935483,"[[121 879]
 [895 105]]"
stl10,grads,4,GradientBoosting,0.2685,0.296,0.2805687203791469,0.2880778588807785,"[[241 759]
 [704 296]]"
stl10,grads,4,RandomForest,0.096,0.089,0.0902636916835699,0.0896273917421953,"[[103 897]
 [911  89]]"
stl10,grads,5,HistGradientBoosting,0.1155,0.105,0.1072522982635342,0.1061141990904497,"[[126 874]
 [895 105]]"
stl10,grads,5,GradientBoosting,0.2665,0.286,0.2752646775745909,0.2805296714075527,"[[247 753]
 [714 286]]"
stl10,grads,5,RandomForest,0.096,0.092,0.0927419354838709,0.0923694779116466,"[[100 900]
 [908  92]]"
stl10,grads,6,HistGradientBoosting,0.1145,0.113,0.1133400200601805,0.1131697546319479,"[[116 884]
 [887 113]]"
stl10,grads,6,GradientBoosting,0.278,0.282,0.2797619047619047,0.2808764940239044,"[[274 726]
 [718 282]]"
stl10,grads,6,RandomForest,0.096,0.094,0.0943775100401606,0.094188376753507,"[[ 98 902]
 [906  94]]"
stl10,grads,7,HistGradientBoosting,0.1105,0.102,0.103763987792472,0.1028744326777609,"[[119 881]
 [898 102]]"
stl10,grads,7,GradientBoosting,0.2645,0.288,0.2750716332378223,0.2813873961895456,"[[241 759]
 [712 288]]"
stl10,grads,7,RandomForest,0.096,0.09,0.0910931174089068,0.090543259557344,"[[102 898]
 [910  90]]"
stl10,grads,8,HistGradientBoosting,0.113,0.101,0.103483606557377,0.1022267206477732,"[[125 875]
 [899 101]]"
stl10,grads,8,GradientBoosting,0.2755,0.3,0.2859866539561487,0.2928257686676427,"[[251 749]
 [700 300]]"
stl10,grads,8,RandomForest,0.096,0.082,0.0843621399176954,0.0831643002028397,"[[110 890]
 [918  82]]"
stl10,grads,9,HistGradientBoosting,0.1155,0.111,0.1120080726538849,0.1115017579105977,"[[120 880]
 [889 111]]"
stl10,grads,9,GradientBoosting,0.2685,0.286,0.2763285024154589,0.281081081081081,"[[251 749]
 [714 286]]"
stl10,grads,9,RandomForest,0.096,0.09,0.0910931174089068,0.090543259557344,"[[102 898]
 [910  90]]"
stl10,grads,10,HistGradientBoosting,0.118,0.113,0.1141414141414141,0.1135678391959799,"[[123 877]
 [887 113]]"
stl10,grads,10,GradientBoosting,0.279,0.316,0.2942271880819367,0.3047251687560269,"[[242 758]
 [684 316]]"
stl10,grads,10,RandomForest,0.096,0.089,0.0902636916835699,0.0896273917421953,"[[103 897]
 [911  89]]"
stl10,grads,11,HistGradientBoosting,0.117,0.111,0.1123481781376518,0.1116700201207243,"[[123 877]
 [889 111]]"
stl10,grads,11,GradientBoosting,0.279,0.31,0.2919020715630885,0.3006789524733269,"[[248 752]
 [690 310]]"
stl10,grads,11,RandomForest,0.096,0.085,0.0869120654396728,0.0859453993933265,"[[107 893]
 [915  85]]"
stl10,grads,12,HistGradientBoosting,0.1165,0.11,0.1114488348530901,0.1107196779063915,"[[123 877]
 [890 110]]"
